name,WEEK,AVG,R,HR,RBI,SB,OPS,IP,SV,K,ERA,WHIP,QS
YABO CITY,1,0.281,65,15,54,9,0.87,93,6,104,2.61,1.05,8
,2,0.295,46,12,44,4,0.903,55.66,4,66,3.72,0.93,5
,3,0.21,38,7,36,7,0.671,83,1,75,4.12,1.3,8
,4,0.273,38,10,37,7,0.796,90.33,5,86,4.98,1.41,5
,5,0.28,33,12,36,2,0.819,60.33,3,73,2.69,0.93,6
,6,0.277,44,13,43,7,0.851,72.66,5,80,3.1,1.14,7
,7,0.296,31,12,45,7,0.891,65.66,2,73,3.7,1.08,5
,8,0.242,27,9,28,1,0.757,84.33,8,89,3.09,1.07,8
,9,0.276,48,17,52,6,0.854,65,6,62,4.29,1.23,6
,10,0.264,50,10,36,6,0.767,65,7,66,3.18,1.14,6
,11,0.227,34,11,33,3,0.721,87,7,84,3.93,1.32,7
,12,0.244,35,4,29,3,0.697,60.66,3,72,4.6,1.55,3
,13,0.233,40,8,32,9,0.7,55.33,5,55,4.72,1.39,3
,14,0.269,37,6,35,9,0.775,10,7,17,0,0.9,0
,15,0.308,51,8,35,5,0.835,77.33,3,64,5.59,1.69,6
,16,0.272,61,27,66,8,0.893,80,7,75,3.83,1.13,6
,17,0.258,47,13,32,3,0.81,88,6,79,4.3,1.27,7
,18,0.294,52,15,48,3,0.932,57.66,6,58,4.53,1.32,5
,19,0.319,46,15,42,4,0.967,73.66,2,78,1.95,0.88,8
,20,0.3,37,7,36,4,0.831,69.66,5,67,2.58,1.08,7
,21,0.259,38,11,33,2,0.773,102.66,3,91,3.24,1.17,10
,22,0.213,31,5,39,4,0.648,62.66,3,71,3.45,1.31,5
,1st Half Averages,0.265,41.13,10.27,38.33,5.67,0.794,68.35,4.8,71.07,3.62,1.21,5.53
,2nd Half Averages,0.273,44.57,13.29,42.29,4,0.836,76.33,4.57,74.14,3.41,1.17,6.86
,Season Averages,0.268,42.23,11.23,39.59,5.14,0.807,70.89,4.73,72.05,3.55,1.2,5.95
